calendar_year,jsic_industry,wage_growth_pct
2021,その他のサービス業,3.5
2021,不動産・物品賃貸業,5.2
2021,医療，福祉,-1.1
2021,卸売業，小売業,2.2
2021,学術研究等,-1.4
2021,建設業,-0.4
2021,情報通信業,-0.7
2021,教育，学習支援業,-2.7
2021,生活関連サービス等,1.3
2021,製造業,2.1
2021,複合サービス事業,-0.9
2021,運輸業，郵便業,0.6
2021,金融業，保険業,-2.1
2021,鉱業，採石業等,11.8
2021,電気・ガス業,1.2
2021,飲食サービス業等,-0.3
2022,その他のサービス業,2.1
2022,不動産・物品賃貸業,4.0
2022,医療，福祉,2.0
2022,卸売業，小売業,1.8
2022,学術研究等,4.0
2022,建設業,4.0
2022,情報通信業,2.5
2022,教育，学習支援業,1.5
2022,生活関連サービス等,3.7
2022,製造業,1.7
2022,複合サービス事業,0.0
2022,運輸業，郵便業,5.4
2022,金融業，保険業,1.0
2022,鉱業，採石業等,4.9
2022,電気・ガス業,-2.9
2022,飲食サービス業等,9.7
2023,その他のサービス業,3.8
2023,不動産・物品賃貸業,7.2
2023,医療，福祉,0.4
2023,卸売業，小売業,0.3
2023,学術研究等,0.8
2023,建設業,0.1
2023,情報通信業,1.7
2023,教育，学習支援業,1.3
2023,生活関連サービス等,2.8
2023,製造業,1.8
2023,複合サービス事業,3.2
2023,運輸業，郵便業,4.3
2023,金融業，保険業,3.7
2023,鉱業，採石業等,-6.0
2023,電気・ガス業,0.9
2023,飲食サービス業等,2.4
2024,その他のサービス業,3.4
2024,不動産・物品賃貸業,-0.3
2024,医療，福祉,3.0
2024,卸売業，小売業,3.9
2024,学術研究等,2.2
2024,建設業,4.6
2024,情報通信業,3.1
2024,教育，学習支援業,2.9
2024,生活関連サービス等,4.9
2024,製造業,3.0
2024,複合サービス事業,0.3
2024,運輸業，郵便業,2.8
2024,金融業，保険業,4.9
2024,鉱業，採石業等,3.5
2024,電気・ガス業,4.2
2024,飲食サービス業等,2.1
